
Task: list_maximum:
--------------------------------------------------------------------------------------------------------------
Range: min-0.0-max-99.0:
Type: ints
--------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------
min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 0, ACC : 50.4

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 1, ACC : 58.4

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 2, ACC : 56.8

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 3, ACC : 56.2

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 4, ACC : 51.8

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 5, ACC : 55.4

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 6, ACC : 53.6

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 7, ACC : 57.0

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 8, ACC : 54.8

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 9, ACC : 54.6

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 10, ACC : 64.8

min-0.0-max-9999.0-n-1000-m-5-type-ints-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 11, ACC : 56.0
--------------------------------------------------------------------------------------------------------------
Range: min-0.0-max-99.0
Type: floats
--------------------------------------------------------------------------------------------------------------
min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 0, ACC : 45.0

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 1, ACC : 54.2

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 2, ACC : 48.4

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 3, ACC : 51.0

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 4, ACC : 44.2

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 5, ACC : 55.4

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 6, ACC : 48.6

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 7, ACC : 48.4

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 8, ACC : 48.8

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 9, ACC : 52.2

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 10, ACC : 55.2

min-0.0-max-99.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 11, ACC : 67.2
--------------------------------------------------------------------------------------------------------------
Range: min-0.0-max-999.0
Type: floats
--------------------------------------------------------------------------------------------------------------
min-0.0-max-999.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 0, ACC : 46.2
min-0.0-max-999.0-n-1000-m-5-type-floats-task-list_maximum-hs-128-lr-0.01-bs-128-eps-1000, layer 1, ACC : 46.2
